"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Region"	"Region Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Incidence Counts
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.467	42	94
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.487	57	120
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.672	65	103
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.638	178	300
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.776	38	56
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.605	1053	1653
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.652	1308	1936
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.646	1672	2470
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.711	1140	1601
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	19
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.676	59	99
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.621	67	125
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.600	68	120
